37.014.5/36;L'analyse coût - bénéfice dans la planification de l'éducation;WOODHALL Maureen;Paris;Unesco;1970;59;Planification de l'éducation;397
37.014.5/37;L'analyse coût - bénéfice dans la planification de l'éducation;WOODHALL Maureen;Paris;Unesco;1970;59;Planification de l'éducation;261
37.014.5/38;L'analyse coût - bénéfice dans la planification de l'éducation;WOODHALL Maureen;Paris;Unesco;1970;59;Planification de l'éducation;392
37.014.5/39;Planification de l'éducation et chômage des jeunes;CALLAWAY Archibald;Paris;Unesco;1971;55;Planification de l'éducation;262
37.014.5/40;L'éducation et l'emploi : une étude critique;CARNOY Martin;Paris;Unesco;1977;107;Planification de l'éducation;636
37.014.5/41;Coûts et dépenses en éducation;HALLAK J;Paris;Unesco;1969;79;Planification de l'éducation;258
37.014.5/42;La planification de l'enseignement : évaluation des coûts;VAIZEY J;Paris;Unesco;1968;67;Planification de l'éducation;634
37.014.5/43;L'aide extérieure et la planification de l'éducation en Côte-d'Ivoire;CERYCH L;Paris;Unesco;1967;51;Planification de l'éducation: côte d'ivoire;5698
37.014.5/44;Les études à l'étranger et le développement de l'enseignement;CARTER William;Paris;Unesco;1974;59;Education: études et formation à l'étranger;192
37.014.5/45;Les études à l'étranger et le développement de l'enseignement;CARTER William;Paris;Unesco;1974;59;Education: études et formation à l'étranger;5668
37.014.5/46;Croissance démographique et coûts de l'enseignement dans les pays en voie de développement;NGOC Chau ta;Paris;Unesco;1972;23;Economie de l'éducation: croissance démographique;218
37.014.5/47;Planification de l'éducation : notes sur les besoins nouveaux en matière de recherche;PLATT William;Paris;Unesco;1970;79;Planification  de l'éducation;217
37.014.5/49;Problèmes actuels de la démocratisation des enseignements secondaire et supérieur;  ;Paris;Unesco;1973;250;Education: démocratisation de l'enseignement;7400
37.014.5/50;Planification de l'éducation en URSS;  ;Paris;Unesco;1967;339;Planification de l'éducation: URSS;221
37.014.5/51;Modèle de développement de l'éducation : perspectives pour l'Asie (1965-1980);UNESCO;Paris;Unesco;1967;136;Planification de l'éducation: développement de l'éducation en Asie;7499
37.014.5/52;La planification du programme scolaire;LEWY Arieh;Paris;Unesco;1978;19;Planification de l'éducation: programme scolaire;7456
37.014.5/54;La planification des programmes d'enseignement primaire dans les pays en voie de développement;HAWES H. W. R;Paris;Unesco;1972;55;Planification de l'éducation: programme de l'enseignement primaire;7455
37.014.5/55;Méthode de préparation de la carte scolaire : études de cas Autriche, Basse-Saxe, République Fédérale d'Allemagne;  ;Paris;Unesco;1974;111;Planification de l'éducation: carte scolaire;7503
37.014.5/56;La planification intersectorielle dans l'enseignement;OCDE;Paris;Ocde;1977;363;Planification de l'éducation;8667
37.014.5/57;Planification et participation dans l'enseignement;OCDE;Paris;Ocde;1974;527;Planification de l'éducation;8668
37.014.5/58;Planification de l'éducation et développement des ressources humaines;HARBISON F;Paris;Unesco;1968;38;Planification de l'éducation;12115
37.014.5/59;La planification de l'éducation en relation avec le développement rural;COVERDALE G. M;Paris;Unesco;1974;41;Education: développement rural;12125
37.014.5/60;Planification de l'aide à l'éducation pour la deuxième décennie du développement;PHILLIPS H. M;Paris;Unesco;1974;87;Planification de l'éducation;12122
37.014.5/61;Planification de l'éducation pour une société pluraliste;HON-CHAN Chai;Paris;Unesco;1971;79;Planification de l'éducation;12121
37.014.5/62;Planification de l'éducation : les conditions de réussite;RUSCOE G. C;Paris;Unesco;1970;50;Planification de l'éducation;12120
37.014.5/63;Pour une conception réaliste de la planification de l'éducation;MCKINNO K. R;Paris;Unesco;1974;55;Planification de l'éducation;12124
37.014.5/64;L'identité professionnelle du planificateur de l'éducation;CURLE Adam;Paris;Unesco;1970;61;Planification de l'éducation;12119
37.014.5/65;Le planificateur et l'éducation permanente;FURTER Pierre;Paris;Unesco;1977;68;Planification de l'éducation;12127
37.014.5/66;La planification de l'enseignement : évaluation des coûts;VAIZEY J. CHESSWAS J.D;Paris;Unesco;1968;65;Planification de l'éducation;12117
37.014.5/67;Le rôle de conseiller en planification de l'enseignement;CURLE Adam;Paris;Unesco;1969;29;Planification de l'éducation;12118
37.014.5/68;La planification de l'éducation : options et décisions;MONTGOMERY John;Paris;Unesco;1977;70;Planification de l'éducation;12126
37.014.5/69;Planification de l'éducation et développement des ressources humaines;HARBISON F;Paris;Unesco;1971;40;Planification de l'éducation;252
37.014.5/70;L'expérience hongroise de l'ook: un instrument pour le développement de la technologie éducative;NAGY Jozsef;Paris;Unesco;1980;126;Education: centre national de technologie éducative hongrois ( );12676
37.014.5/71;La crise mondiale de l'éducation;COOMBS Philip;Bruxelles;De Boeck/Wesimael;1989;378;Politique de l'éducation;21481
37.014.7/01;Production de l'école - production de la société: analyse socio-historique de quelques moments décisifs de l'évolution scolaire en occident;PETITAT André;Genève;Droz;1982;540;Sociologie de l'éducation: production - reproduction sociale;15375
37.014/05;Méthode de préparation de la carte scolaire: Casablanca, le Gharb et Kenitra, Maroc;IIE;Paris;Unesco;1976;243;Planification de l'éducation: carte scolaire - Maroc -;655
37.014/06;La mise en place de politique éducatives: rôle et méthodologie de la carte scolaire: un rapport de recherche de l'institut international de planifecation de l'éducation;HALLAK Jacques;Paris;Unesco;1976;327;Politique de l'éducation;651
37.014/07;L'éducation pour la compréhension internationale : en tant que partie intégrante des programmes social;  ;Paris;Unesco;1968;260;Education comparée: études monographiques;5662
37.014/08;Apprendre et travailler;UNESCO;Paris;Unesco;1979;360;Education: enseignement et travail;2565
37.014/10;Les grands problèmes de l'éducation dans le monde: essai d'analyse et de synthèse;THOMAS Jean;Paris;Unesco;1975;172;Education;6344
37.014/11;Eduquer et instruire;DOTTRENS Robert;Paris;Unesco;1966;368;Education: guide pédagogique;5663
37.014/12;L'éducation d'aujourd'hui face au monde de demain;HUMMEL Charles;Paris;Unesco;1977;208;Politique de l'éducation: problèmes éducatifs majeurs;5582
37.014/13;Démocratie et éducation : introduction à la philosophie de l'éducation;DEWEY John;Paris;A. Colin;1975;426;Philosophie de l'éducation: les objectifs de l'éducation;7645
37.014/13bis;Démocratie et éducation;DEWEY John;Paris;A. Colin;1990;450;Philosophie de l'éducation : les objectifs de l'éducation;24079
37.014/14;L'école capitaliste en France;BAUDELOT Christian. ESTABLET Roger;Paris;Maspero;1971;346;Education : analyse des fonctionnement de l'école capitaliste;6077
37.014/15;Le droit à l'éducation: du principe aux réalisations 1948-1968;FRANCOIS Louis;Paris;Unesco;1968;100;Education: le droit à l'éducation;309
37.014/16;La mise en place de politique éducatives: rôle et méthodologie de la carte scolaire: un rapport de recherche de l'institut internationa;HALLAK Jacques;Paris;Unesco;1976;327;Politique de l'éducation;214
37.014/17;Population et l'enseignement: démographie et sciences humaines;INED;Paris;Unesco;1970;571;Education: enseignement et problèmes démographiques;7522
374.3/06;Jeunesse exploitee jeunesse perdue;THANH Khoi (lê);Paris;PUF;1978;227;Education de la jeunesse;5998
37.014/19;L'innovation éducative en Inde;NAIK Chitra;Paris;Unesco;1974;53;Education en inde: innovation éducative;5671
37.014/20;L'innovation éducative en Iran;AYMAN Iraj;Paris;Unesco;1974;35;Education en Iran: innovation éducative;5673
37.014/21;L'innovation éducative à Singapour;WONG Ruth h.k;Paris;Unesco;1974;97;Education en Singapour: innovation éducative;5674
37.014/22;L'innovation éducative en république de Corée;YUNG Dug Lee;Paris;Unesco;1975;49;Education en république de Corée: innovation éducative;5670
37.014/23;L'innovation éducative en Indonésie;  ;Paris;Unesco;1975;56;Education en Indonésie: innovation éducative;5672
37.014/24;Il est temps de passer à l'action: le rôle de l'homme dans le développement: réflexions complémentaires pour les années soixante-dix;ADISESHIAH Malcolm;Paris;Unesco;1972;203;Politique de l'éducation;5779
37.014/25;La question scolaire en France;LABRUSSE Roger;Paris;Puf;1900;128;Politique de l'éducation. France;1941
37.014/26;Les tendances de l'éducation en 1970 : une enquête internationale;Bureau International de l'Education;Paris;Unesco;1970;66;Politique de l'éducation;7478
37.014/27;Education since 1800;MORRISH Ivor;London;George Allen and unw;1970;244;Histoire de l'éducation;6640
37.014/28;Educational cooperation between developed and developing countries;PHILLIPS H. .M;New York;Praeger Publishers;1976;333;Politique de l'éducation: développement;6639
37.014/29;Conférence internationale de l'éducation: recommandations 1934-1977;UNESCO;;Unesco;1900;461;Education;7508
37.014/30;It is time to begin : the human role in development: some further reflections for the seventies;ADISESHIAH Malcolm;Paris;Unesco;1972;182;Politique de l'éducation;7463
37.014/31;Les politiques futures d'éducation et l'évolution économique et sociale;OCDE;Paris;Ocde;1979;184;Politique de l'éducation;8614
37.014/32;Pour une politique démographique de l'éducation;LEGRAND Louis;Paris;Puf;1977;293;Politique de l'éducation;11209
37.014/33;Les politiques futures d'éducation et l'évolution économique et sociale;OCDE;Paris;Ocde;1979;184;Politique de l'éducation;21503
37.015_091_/01;Histoire de la pédagogie du 17° siècle à nos jours;AVANZINI Guy (s/s dir);Paris;Privat;1981;395;Education: histoire de la pédagogie;7614
37.015_091_/02;Histoire des institutions et des doctrines pédagogiques par les textes;PALMERO J;Paris;Sudel;1958;455;Education: histoire de la pédagogie;7656
37.015_6_/15;L'enfant et son milieu en Afrique Noire : essais sur l'éducation traditionnelle;ERNY Pierre;Paris;Payot;1972;320;Education: ethnologie de l'éducation. l'éducation traditionnel en Afrique Noire;16033
37.015.3/01;Méthode d'observation psychopédagogique;LEFEVRE Lucien;Paris;Esf;1973;153;Psychopédagogique: observation;9409
37.015.3/02;Carrefours psychopédagogique;NATALIS Ernest;Bruxelles;Ch. Dessert;1970;272;Psychopédagogie;11643
37.015.3/03;La lecture et l'enfant;BETTELHEIM Bruno. ZELAN Karen;Paris;R. Laffont;1983;261;Psychopédagogie: apprentissage de la lecture;14765
37.015.3/04;Education impossible;MANNONI Maud;Paris;Seuil;1973;320;Psychologie pédagogique: antipsychiatre;14290
37.015.3/05;La situation des enfants dans le monde (1985);GRANT James;Paris;Aubier;1984;126;Education: situation des enfants dans le monde;16219
37.015.3/06;Psychopédagogie des débiles profonds: récit d'une expérience réalisée auprès de fillettes d'âge scolaire;ROUQUES Denise;Paris;Fleurus;1979;608;Psychopédagogie: éducation spéciale;11809
37.015.3/07t1;Psychologie et éducation. t1 : l'enfant;LEIF Joseph. DELAY Jean;Paris;Natham;1983;496;Education : psychologie;19083
37.015.3/07t2;Psychologie et éducation : tome 2 : l'adolescent;LEIF Joseph. DELAY Jean;Paris;Nathan;1983;606;Education : psychologie de l'adolescent;19084
37.015.3/07t3;Psychologie et éducation. t3 : l'examen psychologique de l'enfant et de l'adolescent;GUILLARME Jean-Jacques;Paris;Natham;1983;158;Education: psychologie;19085
37.015.3/07t4;Psychologie et éducation. t4 : texte de psychologie de l'enfant et de l'adolescent;LEIF Joseph. JUIF Paul;Paris;Natham;1983;514;Education : psychologie;19086
37.015.3/08;Psycholinguistique et pédagogie des langues;LANCHEC Jean-Yvon;Paris;Puf;1976;168;Psychopédagogie - psycholinguistique : pédagogie des langues;21679
37.015.3/09;La formation par l'apprentissage : éléments de psychopédagogie;LEPLAT Jacques. ENARD Claude. WEILL-FASSINA Anne;Paris;Puf;1970;200; Pychopédagogie : apprentissage;21977
37.015.3/10;La pédagogie psychanalytique : origine et histoire;MOLL Jeanne;Paris;Bordas;1989;216;Psychopédagogie : pédagogie psychanalytique;21620
37.015.4/01;Etudes sur la socialisation scolaire: groupe de recherches sur le procès de socialisation (E.A.R.631- université Lyon 2);CNRS;Paris;Cnrs;1974;136;Sociologie de l'éducation: socialisation scolaire;9352
37.015.4/02;Education et société en russie: dans le second tiers du 19è siècle;BESANÇON Alain;Paris;Mouton;1974;164;Sociologie de l'éducation: la russie au 19è siècle;14459
37.015.4/03;Les institutions socio-culturelles : les mots-clés;LABOURIE Raymond;Paris;Puf;1978;340;Sociologie de l'éducation: les institutions socio-culturelles;17539
37.015.4/04;L'école est-elle rentable ? ;ESTABLET Roger;Paris;Puf;1987;240;Sociologie de l'éducation;19077
37.015.4/04bis;L'école est-elle rentable ? ;ESTABLET Roger;Paris;Puf;1987;240;Sociologie de l'éducation;21675
37.015.4/06;Ecole, communication, télévision;LAZAR Judith;Paris;Puf;1985;190;Sociologie de l'éducation : école - télévision;21978
37.015.6/01;Economique de l'éducation : travaux français;EICHER Jean-Claude. LEUY Louis;Paris;Economica;1979;378;Economie de l'éducation;2285
37.015.6/01bis;Economique de l'éducation: travaux français;EICHER Jean-Claude;Paris;Economica;1979;375;Economie de l'éducation;16497
37.015.6/02;L'économie de l'éducation;PAGE André;Paris;Puf;1971;272;Economie de l'éducation;7650
37.015.6/03;Textes choisis sur l'économie de l'éducation;  ;;Unesco;1971;945;Economie de l'éducation;249
37.015.6/04;Le financement de l'enseignement primaire et les objectifs fondamentaux de l'école : rapport général;NOAH Harold J. SHERMAN Joel D;Paris;Ocde;1979;80;Economie de l'éducation : enseignement primaire;21510
37.015/02;Sociologie de l'éducation : textes fondamentaux;GRAS Alain;Paris;Larousse;1974;382;Sociologie de l'éducation;7653
37.015/03;Pédagogie progressiste : éducation traditionnelle et éducation nouvelle;SNYDERS Georges;Paris;Puf;1975;272;Education : pédagogie moderne;6342
37.015/04;Introduction à la pédagogie;MIALARET Gaston;Paris;Puf;1977;200;Education : pédagogie;5917
37.015/05;Traité des sciences pédagogiques. t1 : introduction;DEBESSE Maurice. MIALARET Gaston (s/s.dir);Paris;Puf;1969;206;Education: pédagogie;5999
37.015/06;Traité des sciences pédagogiques. t2 : histoire de la pédagogie;DEBESSE Maurice. MIALARET Gaston (s/s.dir);Paris;Puf;1971;536;Education: pédagogie;6000
37.015/07;Traité des sciences pédagogiques. t3 : pédagogie comparée;DEBESSE Maurice. MIALARET Gaston (s/s.dir);Paris;Puf;1972;441;Différentes disciplines de la pédagogie;6001
37.015/08;Traité des sciences pédagogiques. t5: psychologie de l'éducation;DEBESSE Maurice. MIALARET Gaston (s/s.dir);Paris;Puf;1974;251;Education: psychologie de l'éducation;6002
37.015/09;Traité des sciences pédagogiques. t5: psychologie pédagogique;DEBESSE Maurice. MIALARET Gaston (s/s.dir);Paris;Puf;1974;386;Education: psychopédagogie;6003
37.015/10;Traité des sciences pédagogiques. t6 : aspects sociaux de l'éducation;DEBESSE Maurice. MIALARET Gaston (s/s.dir);Paris;Puf;1974;438;Education: psychologie de l'éducation. sociologie de l'éducation;6004
37.015/11;Traité des sciences pédagogiques. t7: fonction et formation des enseignants;DEBESSE Maurice. MIALARET Gaston (s/s.dir);Paris;Puf;1978;454;Education: formation des enseignants;6005
37.015/12;Traité des sciences pédagogiques. t8: éducation permanente et animation socioculturelle;DEBESSE Maurice. MIALARET Gaston (s/s.dir);Paris;Puf;1978;452;Education: éducation permanente;6006
37.015/13;L'école et le social : de la maternelle à l'université;HERNE Claude;Bruxelles;De Boeck;1973;203;Education: approche sociologique et psychologique des problèmes sc;7622
37.015/14;Plaidoyer pour les apprentissages précoces: stratégies éducatives pour la réalisation des potentialités humaines;COHEN Rachel;Paris;Puf;1982;308;Education: apprentissages précoces;13598
37.015/16;Vers une pédagogie interculturelle;ABDALLAH-PRETCEILLE M;Paris;Inpp;1986;238;Education pédagogique interculturelle;18293
37.015/17;La dissertation pédagogique par l'exemple;JOSEPH-GABRIEL Maurice;Paris;Classiques Roudil;1985;472;Education: formation pédagogique;19080
37.015/18;Les objectifs pédagogiques : en formation initiale et en formation continue;HAMELINE Daniel;Paris;Esf;1979;202;Education: pédagogie par objectifs;19099
37.015/19;L'enfant dans la cité;CORMON Veronique;Paris;Nathan;1989;80;Education: école maternelle - activités pédagogiques: affiche publ;21750
37.015/20;La pédagogie devant le progrès technique;CANONGE Fernand. DUCEL René;Paris;Puf;1969;224;Education: pédagogie et progrès technique;21986
37.015/21;Pédagogie de la communication dans l'enseignement d'une langue étrangère;BOUCHER Anne-Marie. DUPLANTIE Monique. LEBLAN Raymond;Bruxelles;De Boeck/Wesimael;1988;184;Education: pédagogie de la communication - enseignement de langue;21748
37.015/22;Apprentissage de la lecture et méthode feuilleton;BEAUME Edmond;Paris;Retz;1989;160;Education : pédagogie de la lecture;21746
37.015/23;Pour une pédagogie scientifique du français;ROMIAN Hélène;Paris;Puf;1979;256;Education : pédagogie du français;21674
37.015/24;Linguistique textuelle et enseignement du français;RÜCK Heribert;Paris;Hatier;1980;90;Education : enseignement de la langue française;14162
37.015/25;Pour un enseignement interactif des langues étrangères;SCHIFFLER Ludger;Paris;Hatier;1984;145;Education : enseignement  des langues étrangères;14160
37.015/26;Une approche communicative de l'enseignement des langues;WIDDOWSON H. G;Paris;Hatier;1981;191;Education : enseignement des langues - communication;14159
37.015/27;Littérature et classe de la langue : français langue étrangère;  ;Paris;Hatier;1982;239;Education : enseignement de la langues étrangère : français;14161
37.015/28;Analyse sociolinguistique de la communication et dialectique : application à un cours de langue : de vive voix;GSCHWIND-HOLTZER Gisele;Paris;Hatier;1981;122;Education : enseignement des langues - communication;14158
37.015/29;Littérature et communication en classe de langue : une initiation à l'analyse du discours littéraire;PAPO E. BOURGAIN D;Paris;Hatier;1989;160;Education : enseignement des langues : littérature - communication;21621
37.015/30;Culture et éducation en langue étrangère;BYRAM Michael;Paris;Didier;1992;224;Education : enseignement des langues étrangères;25169
37.015/31;Littérature et communication en classe de langue : une initiation à l'analyse du discours littéraire;PAPO Eliane. BOURGAIN Dominique;Paris;Hatier;1989;160;Education : enseignement des langues - communication;22999
37.015/32;Vers la compétence de communication;HYMES Dell H;Paris;Hatier;1984;224;Education : enseignement des langues - communication;16821
37.015/33;Langage et communications sociales;BACHMANN Christian. LINDENFELD Jacqueline. SIMONIN Jacky;Paris;Hatier;1981;223;Education : enseignement des langues - communication;14163
37.015/34;Linguistique et enseignement des langues;  ;Pris;Pul;     ;330;Education : enseignement des langues;9259
37.015/35;Guide pour la recherche des idées dans les compositions française et les études littéraires;BENAC Henri;Paris;Hachette;1974;431;Education : méthodes d'enseignement - littérature;6637
37.015/36;Analyses de discours : lecture et expression;BEACCO Jean-Claude. DAROT Mireille;Paris;Hachette;1984;178;Education : méthodes d'enseignement - analyses de textes;15752
37.015/37;La contraction et la synthèse de textes;MOREAU Jean A;Paris;Nathan;1977;160;Education : méthodes d'enseignement - contraction - synthèse;22773
37.015/38;Théories grammaticales, descriptions et enseignement des langues;ROULET Eddy;Paris, Bruxelle;Nathan/Labor;1978;125;Education : enseignement des langues - grammaire;19504
37.015/39;L'atelier d'écriture : éléments pour la rédaction du texte littéraire;ROCHE Anne. GUIGUET Andrée. VOLTZ Nicole;Paris;Bordas;1989;144;Education - méthodes d'enseignement : écriture;20023
37.015/40;Expression communication;VANOYE Francis;Paris;A. Colin;1973;242;Education - méthodes d'enseignement : techniques d'expression -;19495
37.017.91/03;Technologie éducative et histoire;POINSSAC-NIEL Josette;Paris;Puf;1975;315;Education: l'histoire de la technologie éducative;7523
37.017/01;Thesaurus de l'éducation. Unesco: ;BIE;Paris;Unesco;1979;319;Education: indexage et recherche documentaire;7465
37.017/O2;Education et pédagogie chez Don Bosco : colloque interuniversitaire, Lyon, 4-7 avril 1988;  ;Paris;Fleurus;1989;352;Education : pensée éducative de jean bosco (1815-1888);22843
37.018.1/01;Etre parent aujourd'hui;BERGE André (s/s dir);Toulouse;Privat;1977;232;Education: famille et éducation familiale;14324
37.018.1/02;Abrégé de l'éducation à domicile de l'enfant infirme moteur cérébral;FINNIE  Nancie;Paris;Masson;1979;308;L'éducation en famille;6060
37.018.48/01;Education et réeducation;DIEL Paul;Paris;Payot;1976;320;Education : rééducation;22289
37.018.5/01;La mise en place d'une institution d'enseignement par correspondance;ERDOS Renée;Paris;Unesco;1976;61;Education: enseignement par correspondance;12107
37.01/01;Initiation aux sciences de l'éducation;CLAUSSE Arnould;Liège;George Thone;1967;180;Education;7655
37.01/02;Les sciences de l'éducation;MIALARET Gaston;Paris;Puf;1976;128;Education;1937
37.01/03;Lexique : éducation;MIALARET Gaston;Paris;Puf;1981;167;Education;7654
37.025/01;L'éducateur et l'auto-évaluation;SIMPSON Ray H;Paris;Puf;1976;136;Education : auto-évaluation du maître;21681
37.02/01;La méthode des tests en pédagogie : problèmes d'évaluation et psychométrie;BONBOIR Anna;Paris;Puf;1972;208;Psychopédagogie : évaluation et psychométrie;21680
37.043.2/01;La mixité dans l'enseignement secondaire : un faux-semblant ? ;MOSCONI Nicole;Paris;Puf;1989;288;Education: mixité d'enseignement;21171
37.043/01;Le groupement des élèves en éducation;YATES Alfred;Bruxelles;Labor;1979;208;Education: méthodes de regroupement;10400
37.04/01;L'orientation scolaire et professionnelle;REUCHLIN Maurice;Paris;Puf;1971;136;Education: orientation scolaire et professionnelle de de l'élève;1545
37.04/02;L'orientation scolaire et professionnelle;REUCHLIN Maurice;Paris;Puf;1971;136;Education: orientation scolaire et professionnelle vue de l'élève;1817
37.04/03;Une étude sur l'aptitude à la scolarité;OKON Wincenty. WILGOCKA-OKON Barbara;Paris;Unesco;1973;35;Psychopédagogie:  recherche sur l'aptitude et la scolarité;5667
37.04/04;Voulez-vous vraiment des enfants idiots ? précédé de : vos enfants ne m'intéressent plus;MASCHINO Maurice;Paris;Hachette;1984;352;Education;14522
37.04/05;L'apprentissage précoce de la lecture;COHEN Rachel;Paris;Puf;1977;240;Education: apprentissage précoce - lecture;17580
37.061/01;Les héritiers : les étudiants et la culture;BOURDIEU Pierre. PASSERON Jean-Claude;Paris;Minuit;1964;191;Sociologie de l'éducation : inégalité des chances;9622
37.064/01;Eduquer les parents : ou comment stimuler la compétence en éducation;POURTOIS J.-P;Bruxelles;Labor;1984;256;Education parentale;16390
37.064/02;Les parents, les profs, et l'école;DEFRANCE Bernard;Paris;Syros;1990;128;Education : relations entre parents, enseignants et école;22369
37.06/01;Relations entre enfants : recherches et interventions éducatives;DURNING Paul. TREMBLAY Richard E;Paris;Fleurus;1988;320;Psychopédagogie : relations entre élèves;22868
37.06/02;Améliorer la relation enseignants - enseignés;COUDRAY Leandre;Paris;d'Organisation;1989;160;Sociologie de l'éducation : relations  enseignant - enseigné;21717
37.15.4/05;Les étudiants et leurs études;BOURDIEU Pierre. PASSERON Jean-Claude;Paris;Mouton;1964;150;Sociologie de l'éducation;10393
37:016/01;International directory of programmed instruction : répertoire intenational d'enseignement programmé;CDEP (s/s.dir);Paris;Unesco;1973;192;Education: enseignement programmé - répertoire;238
37:016/02;Bibliography: reports from the international conference on education,1975 = bibliographie: rapports de la conférence internationale;BIE;Paris;Unesco;1977;60;Education: bibliographie de la conférence internationale de l'éduc;5576
37/01t1;Sciences de l'éducation : pour éveiller le désir d'apprendre. t1;MAGER Robert;Paris;Bordas;1979;112;Education;11796
37/01t10;Sciences de l'éducation : la pratique du travail en groupe: une expérience de formation de l'enseignant.t10;FERRY Gilles;Paris;Bordas;1970;358;Education;11805
37/01t11;Sciences de l'éducation : l'école dans la société: psychologie des modèles éducatifs. t11;MOLLO Suzanne;Paris;Bordas;1969;308;Education;11806
37/01t12;Sciences de l'éducation: écoles buissonnières: pédagogie, psychiatrie,, psychanalyse. t12;MICHAUD Ginette;Paris;Bordas;1978;200;Education;11807
37/01t13;Sciences de l'éducation : à l'école du groupe: heurs et malheurs d'une innovation éducative. t13;GORIN Martin;Paris;Bordas;1981;182;Education;11808
37/01t2;Sciences de l'éducation : comment définir des objectifs pédagogiques. t2;MAGER Robert;Paris;Bordas;1981;136;Education;11797
37/01t3;Sciences de l'éducation: comment programmer une séquence pédagogique. t3;POPHAM W.J. BAKER E.L;Paris;Bordas;1981;126;Education;11798
37/01t4;Sciences de l'éducation : pédagogie de groupe. t4;KAYE Barrington. IRVIN Rogers;Paris;Bordas;1975;146;Education;11799
37/01t5;Sciences de l'éducation : les groupes de rencontre. t5;ROGERS Carl;Paris;Bordas;1973;172;Education;11800
37/01t6;Sciences de l'éducation : liberté pour apprendre ? . t6;ROGERS Carl;Paris;Bordas;1976;366;Education;11801
37/01t7;Sciences de l'éducation : psychologie sociale de l'enseignement. t7: étude des comportements enseignants et problèmes de formation. t1;MORRISON Arnold. MCINTYRE D;Paris;Bordas;1976;172;Education;11802
37/01t8;Sciences de l'éducation : psychologie sociale de l'enseignement. t8: l'enseignant en situation: relation pédagogique et communication. t2;MORRISON Arnold. MCINTYRE D;Paris;Bordas;1976;204;Education;11803
37/01t9;Sciences de l'éducation : conduite et animation de la classe. t9;JOHNSON Louis;Paris;Bordas;1974;318;Education;11804
37/02;Critique des fondements de l'éducation ou généalogie du pouvoir et / ou de l'impouvoir d'un discours;BERNARD Michel;Paris;Chiron;1989;278;Education;21747
37/03;L'endoctrinement;REBOUL Olivier;Paris;Puf;1977;200;Education: endoctrinement;21981
37/04;Pluralismes et libertés d'enseignement;CRRI;Belgique;Pum;1987;92;Education: enseignement;20869
37/05;L'informatique discipline scolaire ? : le cas des lycées;BARON Georges-Louis;Paris;Puf;1982;232;Education: informatique;21619
37/06;Enseignement et mathématiques en langues africaine : expériences connues et problématique de l'enseignement du calcul;GUEGAN Dominique;Paris;Acct;1983;181;Enseignement des mathématiques en Afrique;12678
37/07;Les changements du système éducatif en France (1950-1980);CHERKAOUI Mohamed;Paris;Puf;1982;288;Système éducatif en France;10392
37/08;The philosophy of education;PETERS R. (éd);Oxford;Oxford univ. Press;1980;278;Philosophie de l'éducation;9793
37/09;Finalités de l'éducation;  ;Paris;Unesco;1981;237;Education;14658
37/10;La formation du personnel enseignant du premier et du second degré : étude comparative;GIMENO Jose Blat. MARIN IBANEZ Ricardo;Paris;Unesco;1981;275;Education : formation des enseignements;14650
37/11;Les effets de l'éducation;LOBROT Michel;Paris;Esf;1974;284;Education, enseignement;14252
37/11ter;On ne finit pas d'apprendre : le fossé humain à combler rapport au club de Rome;BOTKIN J.W. ELMANDJRA M. MALITZA M;Paris;Pergamon;1980;179;Education : apprentissage;4459
37/12;Voies non-verbales de la relation pédagogique;PUJADE-RENAUD Claude. ZIMMERMANN Daniel;Paris;Esf;1979;118;Education : communication non-verbale;13901
37/13;De l'école;MILNER Jean-Claude;Paris;Seuil;1984;153;Education : école en France;13549
37/15;Rapport pédagogique et communication;BOURDIEU Pierre. PASSERON Jean-Claude;Paris;Mouton;1965;128;Education;10394
37/16;Financement de l'éducation dans les pays en développement : conclusions de recherche de contexte actuel;SCHIEFELBEIN Ernesto;Ottawa;Crdi;1983;168;Education: financement;12824
37/16bis;Financement de l'éducation dans les pays en développement : conclusions de recherche et contexte actuel;SCHIEFELBEIN Ernesto;Ottawa;Crdi;1983;168;Education: financement;12755
37/17;Casa studies from australia, japan, new Zélande and western Europe;  ;;Unesco;1970;96;Education;12820
37/18;Le jardin du roi et le collège royal : dans l'enseignement des sciences au 18è siècle;LAISSUS Yves. TORLAIS Jean;Paris;Hermann;1986;342;Histoire de l'éducation;16290
37/19;L'empire du concours: lycéens et enseignants au Japon;SABOURET Jean-François;Paris;Autrement;1985;288;Education en japon;16261
37/20;La pédagogie, outil de management;LEBEL Pierre;Paris;d'Organisation;1985;208;Education: pédagogie  de la formation des adultes;16018
37/21;Communication et éducation: à partir de Lewis Carroll. essai;KRIDIS Noureddine;Paris;L'Arcantère;1984;288;Education: communication;16312
37/22;Rendre opérationnels les objectifs pédagogiques;BIRZEA Cesar;Paris;Puf;1979;224;Education: opérationnalisation des objectifs pédagogiques;15599
37/23;Les étapes de l'éducation;DEBESSE Maurice;Paris;Puf;1980;176;Education;15587
37/23bis;Les étapes de l'éducation;DEBESSE Maurice;Paris;Puf;1952;176;Education;19058
37/24;Des fins aux objectifs de l'éducation: une cadre conceptuel et une méthode générale pour établir les résultats attendus d'une formation;D'HAINAUT Louis;Bruxelles;Labor;1985;496;Education: objectifs de l'éducation;16384
37/25;L'éducation de l'affectivité : essai d'exploitation d'un modèle pédagogique;MASAI-PERL Paule. JAMBE Raoul;Bruxelles;Labor;1975;152;Education: éducation affective;16402
